county,date,status,number
Baker,2019-08-19,APPROVED,5
Baker,2019-08-20,APPROVED,8
Baker,2019-08-21,APPROVED,5
Baker,2019-08-22,APPROVED,4
Baker,2019-08-23,APPROVED,4
Baker,2019-08-25,APPROVED,2
Baker,2019-08-26,APPROVED,3
Baker,2019-08-27,APPROVED,1
Baker,2019-08-29,APPROVED,9
Baker,2019-08-30,APPROVED,4
Baker,2019-08-31,APPROVED,5
Baker,2019-09-01,APPROVED,5
Baker,2019-09-02,APPROVED,1
Baker,2019-09-03,APPROVED,4
Baker,2019-09-03,DENIED,1
Baker,2019-09-05,APPROVED,6
Baker,2019-09-06,APPROVED,8
Baker,2019-09-07,APPROVED,3
Baker,2019-09-08,APPROVED,2
Baker,2019-09-09,APPROVED,4
Baker,2019-09-10,APPROVED,2
Baker,2019-09-11,APPROVED,9
Baker,2019-09-12,APPROVED,4
Baker,2019-09-13,APPROVED,5
Baker,2019-09-13,CANCELED,1
Baker,2019-09-14,APPROVED,3
Baker,2019-09-16,APPROVED,4
Baker,2019-09-17,APPROVED,5
Baker,2019-09-18,APPROVED,9
Baker,2019-09-19,APPROVED,3
Baker,2019-09-20,APPROVED,6
Baker,2019-09-21,APPROVED,9
Baker,2019-09-22,APPROVED,1
Baker,2019-09-22,CANCELED,1
Baker,2019-09-23,APPROVED,6
Baker,2019-09-24,APPROVED,3
Baker,2019-09-25,APPROVED,6
Baker,2019-09-26,APPROVED,6
Baker,2019-09-27,APPROVED,3
Baker,2019-09-28,APPROVED,7
Baker,2019-09-29,APPROVED,2
Baker,2019-09-30,APPROVED,6
Baker,2019-10-01,APPROVED,5
Baker,2019-10-02,APPROVED,6
Baker,2019-10-03,APPROVED,5
Baker,2019-10-03,CANCELED,1
Baker,2019-10-04,APPROVED,11
Baker,2019-10-05,APPROVED,2
Baker,2019-10-06,APPROVED,6
Baker,2019-10-07,APPROVED,4
Baker,2019-10-08,APPROVED,3
Baker,2019-10-09,APPROVED,5
Baker,2019-10-10,APPROVED,3
Baker,2019-10-11,APPROVED,5
Baker,2019-10-12,APPROVED,5
Baker,2019-10-13,APPROVED,3
Baker,2019-10-14,APPROVED,2
Baker,2019-10-15,APPROVED,5
Baker,2019-10-16,APPROVED,7
Baker,2019-10-17,APPROVED,5
Baker,2019-10-18,APPROVED,5
Baker,2019-10-19,APPROVED,7
Baker,2019-10-20,APPROVED,2
Baker,2019-10-21,APPROVED,3
Baker,2019-10-22,APPROVED,6
Baker,2019-10-23,APPROVED,2
Baker,2019-10-24,APPROVED,4
Baker,2019-10-25,APPROVED,8
Baker,2019-10-26,APPROVED,1
Baker,2019-10-27,APPROVED,2
Baker,2019-10-28,APPROVED,2
Baker,2019-10-29,APPROVED,3
Baker,2019-10-30,APPROVED,4
Baker,2019-10-31,APPROVED,4
Baker,2019-11-01,APPROVED,7
Baker,2019-11-03,APPROVED,1
Baker,2019-11-04,APPROVED,6
Baker,2019-11-05,APPROVED,6
Baker,2019-11-06,APPROVED,2
Baker,2019-11-07,APPROVED,3
Baker,2019-11-08,APPROVED,3
Baker,2019-11-09,APPROVED,5
Baker,2019-11-09,DENIED,2
Baker,2019-11-10,APPROVED,1
Baker,2019-11-11,APPROVED,5
Baker,2019-11-12,APPROVED,1
Baker,2019-11-13,APPROVED,4
Baker,2019-11-14,APPROVED,3
Baker,2019-11-15,APPROVED,3
Baker,2019-11-16,APPROVED,1
Baker,2019-11-18,APPROVED,1
Baker,2019-11-19,APPROVED,7
Baker,2019-11-20,APPROVED,11
Baker,2019-11-20,DENIED,1
Baker,2019-11-21,APPROVED,8
Baker,2019-11-22,APPROVED,6
Baker,2019-11-23,APPROVED,6
Baker,2019-11-24,APPROVED,6
Baker,2019-11-25,APPROVED,4
Baker,2019-11-25,CANCELED,1
Baker,2019-11-26,APPROVED,7
Baker,2019-11-27,APPROVED,14
Baker,2019-11-29,APPROVED,16
Baker,2019-11-30,APPROVED,35
Baker,2019-12-01,APPROVED,8
Baker,2019-12-02,APPROVED,6
Baker,2019-12-03,APPROVED,5
Baker,2019-12-04,APPROVED,8
Baker,2019-12-05,APPROVED,8
Baker,2019-12-06,APPROVED,11
Baker,2019-12-07,APPROVED,2
Baker,2019-12-08,APPROVED,4
Baker,2019-12-09,APPROVED,4
Baker,2019-12-10,APPROVED,8
Baker,2019-12-10,CANCELED,1
Baker,2019-12-11,APPROVED,6
Baker,2019-12-12,APPROVED,6
Baker,2019-12-13,APPROVED,6
Baker,2019-12-14,APPROVED,17
Baker,2019-12-15,APPROVED,21
Baker,2019-12-16,APPROVED,8
Baker,2019-12-17,APPROVED,11
Baker,2019-12-18,APPROVED,3
Baker,2019-12-19,APPROVED,12
Baker,2019-12-20,APPROVED,13
Baker,2019-12-21,APPROVED,13
Baker,2019-12-22,APPROVED,9
Baker,2019-12-23,APPROVED,16
Baker,2019-12-24,APPROVED,13
Baker,2019-12-24,CANCELED,1
Baker,2019-12-26,APPROVED,5
Baker,2019-12-27,APPROVED,8
Baker,2019-12-28,APPROVED,4
Baker,2019-12-29,APPROVED,2
Baker,2019-12-30,APPROVED,11
Baker,2019-12-30,DENIED,1
Baker,2019-12-31,APPROVED,7
Baker,2019-12-31,CANCELED,1
Baker,2020-01-01,APPROVED,3
Baker,2020-01-02,APPROVED,2
Baker,2020-01-03,APPROVED,4
Baker,2020-01-04,APPROVED,3
Baker,2020-01-05,APPROVED,1
Baker,2020-01-06,APPROVED,7
Baker,2020-01-07,APPROVED,4
Baker,2020-01-08,APPROVED,4
Baker,2020-01-09,APPROVED,7
Baker,2020-01-09,DENIED,1
Baker,2020-01-10,APPROVED,3
Baker,2020-01-11,APPROVED,3
Baker,2020-01-12,APPROVED,1
Baker,2020-01-13,APPROVED,4
Baker,2020-01-14,APPROVED,3
Baker,2020-01-15,APPROVED,4
